tweet_id,favorites,retweets,timestamp
892420643555336193,33599,6950,2017-08-01 16:23:56+00:00
892177421306343426,29141,5252,2017-08-01 00:17:27+00:00
891815181378084864,21928,3458,2017-07-31 00:18:03+00:00
891689557279858688,36652,7158,2017-07-30 15:58:51+00:00
891327558926688256,35045,7698,2017-07-29 16:00:24+00:00
891087950875897856,17688,2573,2017-07-29 00:08:17+00:00
890971913173991426,10289,1640,2017-07-28 16:27:12+00:00
890729181411237888,56475,15648,2017-07-28 00:22:40+00:00
890609185150312448,24362,3597,2017-07-27 16:25:51+00:00
890240255349198849,27760,6048,2017-07-26 15:59:51+00:00
890006608113172480,26872,6099,2017-07-26 00:31:25+00:00
889880896479866881,24411,4127,2017-07-25 16:11:53+00:00
889665388333682689,41738,8277,2017-07-25 01:55:32+00:00
889638837579907072,23503,3689,2017-07-25 00:10:02+00:00
889531135344209921,13272,1870,2017-07-24 17:02:04+00:00
889278841981685760,21943,4408,2017-07-24 00:19:32+00:00
888917238123831296,25458,3733,2017-07-23 00:22:39+00:00
888804989199671297,22320,3503,2017-07-22 16:56:37+00:00
888554962724278272,17211,2856,2017-07-22 00:23:06+00:00
888078434458587136,19040,2876,2017-07-20 16:49:33+00:00
887705289381826560,26438,4507,2017-07-19 16:06:48+00:00
887517139158093824,40453,9783,2017-07-19 03:39:09+00:00
887473957103951883,59773,14915,2017-07-19 00:47:34+00:00
887343217045368832,29389,8749,2017-07-18 16:08:03+00:00
887101392804085760,26809,4960,2017-07-18 00:07:08+00:00
886983233522544640,30146,6263,2017-07-17 16:17:36+00:00
886736880519319552,10436,2605,2017-07-16 23:58:41+00:00
886680336477933568,19598,3709,2017-07-16 20:14:00+00:00
886366144734445568,18427,2608,2017-07-15 23:25:31+00:00
886267009285017600,102,4,2017-07-15 16:51:35+00:00
886258384151887873,24375,5232,2017-07-15 16:17:19+00:00
886054160059072513,0,92,2017-07-15 02:45:48+00:00
885984800019947520,28414,5577,2017-07-14 22:10:11+00:00
885528943205470208,31392,5290,2017-07-13 15:58:47+00:00
885518971528720385,17883,3093,2017-07-13 15:19:09+00:00
885311592912609280,0,15315,2017-07-13 01:35:06+00:00
885167619883638784,19125,3641,2017-07-12 16:03:00+00:00
884925521741709313,66727,14903,2017-07-12 00:01:00+00:00
884876753390489601,24220,4625,2017-07-11 20:47:12+00:00
884562892145688576,21162,3885,2017-07-11 00:00:02+00:00
884441805382717440,23721,4766,2017-07-10 15:58:53+00:00
884247878851493888,62752,16765,2017-07-10 03:08:17+00:00
884162670584377345,17821,2487,2017-07-09 21:29:42+00:00
883838122936631299,19028,2844,2017-07-09 00:00:04+00:00
883482846933004288,39924,8197,2017-07-08 00:28:19+00:00
883360690899218434,19822,3057,2017-07-07 16:22:55+00:00
883117836046086144,32288,5498,2017-07-07 00:17:54+00:00
882992080364220416,20848,3222,2017-07-06 15:58:11+00:00
882762694511734784,24613,4064,2017-07-06 00:46:41+00:00
882627270321602560,24457,5025,2017-07-05 15:48:34+00:00
882268110199369728,38945,9548,2017-07-04 16:01:23+00:00
882045870035918850,25540,4056,2017-07-04 01:18:17+00:00
881906580714921986,21310,2835,2017-07-03 16:04:48+00:00
881666595344535552,44236,8883,2017-07-03 00:11:11+00:00
881633300179243008,113,8,2017-07-02 21:58:53+00:00
881536004380872706,43161,13310,2017-07-02 15:32:16+00:00
881268444196462592,20371,4470,2017-07-01 21:49:04+00:00
880935762899988482,14947,2319,2017-06-30 23:47:07+00:00
880872448815771648,18584,3186,2017-06-30 19:35:32+00:00
880465832366813184,24847,5177,2017-06-29 16:39:47+00:00
880221127280381952,23508,3440,2017-06-29 00:27:25+00:00
880095782870896641,24157,3630,2017-06-28 16:09:20+00:00
879862464715927552,19589,2907,2017-06-28 00:42:13+00:00
879674319642796034,279,9,2017-06-27 12:14:36+00:00
879492040517615616,20584,2615,2017-06-27 00:10:17+00:00
879415818425184262,92166,37100,2017-06-26 19:07:24+00:00
879376492567855104,14745,2626,2017-06-26 16:31:08+00:00
879130579576475649,0,5693,2017-06-26 00:13:58+00:00
879050749262655488,19691,3923,2017-06-25 18:56:45+00:00
879008229531029506,16655,2228,2017-06-25 16:07:47+00:00
878776093423087618,17034,3411,2017-06-25 00:45:22+00:00
878604707211726852,26279,5885,2017-06-24 13:24:20+00:00
878404777348136964,0,1064,2017-06-24 00:09:53+00:00
878316110768087041,0,5487,2017-06-23 18:17:33+00:00
878281511006478336,6732,1064,2017-06-23 16:00:04+00:00
878057613040115712,36901,5693,2017-06-23 01:10:23+00:00
877736472329191424,68758,15675,2017-06-22 03:54:17+00:00
877556246731214848,19776,3143,2017-06-21 15:58:08+00:00
877316821321428993,23989,4309,2017-06-21 00:06:44+00:00
877201837425926144,23725,4591,2017-06-20 16:29:50+00:00
876838120628539392,18111,2790,2017-06-19 16:24:33+00:00
876537666061221889,20930,3955,2017-06-18 20:30:39+00:00
876484053909872640,16466,1985,2017-06-18 16:57:37+00:00
876120275196170240,24548,3880,2017-06-17 16:52:05+00:00
875747767867523072,21968,3556,2017-06-16 16:11:53+00:00
875144289856114688,19305,4126,2017-06-15 00:13:52+00:00
875097192612077568,24101,5081,2017-06-14 21:06:43+00:00
875021211251597312,22424,3944,2017-06-14 16:04:48+00:00
874680097055178752,24434,3897,2017-06-13 17:29:20+00:00
874434818259525634,0,12138,2017-06-13 01:14:41+00:00
874296783580663808,22822,3459,2017-06-12 16:06:11+00:00
874057562936811520,20007,3359,2017-06-12 00:15:36+00:00
874012996292530176,29946,8532,2017-06-11 21:18:31+00:00
873580283840344065,21259,3328,2017-06-10 16:39:04+00:00
873337748698140672,0,1324,2017-06-10 00:35:19+00:00
873213775632977920,6286,1324,2017-06-09 16:22:42+00:00
872967104147763200,23904,4531,2017-06-09 00:02:31+00:00
872820683541237760,12983,3152,2017-06-08 14:20:41+00:00
872620804844003328,18212,3052,2017-06-08 01:06:27+00:00
872486979161796608,35869,7666,2017-06-07 16:14:40+00:00
872122724285648897,30017,6784,2017-06-06 16:07:15+00:00
871879754684805121,32847,9183,2017-06-06 00:01:46+00:00
871762521631449091,17753,2944,2017-06-05 16:15:56+00:00
871515927908634625,17796,2921,2017-06-04 23:56:03+00:00
871166179821445120,0,4869,2017-06-04 00:46:17+00:00
871102520638267392,18438,4640,2017-06-03 20:33:19+00:00
871032628920680449,20045,3204,2017-06-03 15:55:36+00:00
870804317367881728,29633,5251,2017-06-03 00:48:22+00:00
870726314365509632,105,3,2017-06-02 19:38:25+00:00
870656317836468226,10822,2187,2017-06-02 15:00:16+00:00
870374049280663552,73501,22602,2017-06-01 20:18:38+00:00
870308999962521604,19361,3525,2017-06-01 16:00:09+00:00
870063196459192321,32218,7037,2017-05-31 23:43:25+00:00
869772420881756160,37775,8640,2017-05-31 04:27:59+00:00
869702957897576449,24902,5350,2017-05-30 23:51:58+00:00
869596645499047938,14093,2620,2017-05-30 16:49:31+00:00
869227993411051520,18016,3176,2017-05-29 16:24:37+00:00
868880397819494401,57556,12169,2017-05-28 17:23:24+00:00
868639477480148993,0,1734,2017-05-28 01:26:04+00:00
868622495443632128,23490,4431,2017-05-28 00:18:35+00:00
868552278524837888,8904,1734,2017-05-27 19:39:34+00:00
867900495410671616,21453,3549,2017-05-26 00:29:37+00:00
867774946302451713,30063,6215,2017-05-25 16:10:44+00:00
867421006826221569,14252,2104,2017-05-24 16:44:18+00:00
867072653475098625,0,100,2017-05-23 17:40:04+00:00
867051520902168576,28525,6738,2017-05-23 16:16:06+00:00
866720684873056260,17755,4105,2017-05-22 18:21:28+00:00
866686824827068416,17005,2941,2017-05-22 16:06:55+00:00
866450705531457537,108172,29975,2017-05-22 00:28:40+00:00
866334964761202691,46307,12138,2017-05-21 16:48:45+00:00
866094527597207552,0,7121,2017-05-21 00:53:21+00:00
865718153858494464,22792,4799,2017-05-19 23:57:46+00:00
865359393868664832,23423,4260,2017-05-19 00:12:11+00:00
865006731092295680,24888,6620,2017-05-18 00:50:50+00:00
864873206498414592,28652,7460,2017-05-17 16:00:15+00:00
864279568663928832,12980,2562,2017-05-16 00:41:21+00:00
864197398364647424,26458,7525,2017-05-15 19:14:50+00:00
863907417377173506,18312,3567,2017-05-15 00:02:33+00:00
863553081350529029,13599,3604,2017-05-14 00:34:33+00:00
863471782782697472,0,2078,2017-05-13 19:11:30+00:00
863432100342583297,21157,4529,2017-05-13 16:33:49+00:00
863427515083354112,1950,80,2017-05-13 16:15:35+00:00
863079547188785154,7844,944,2017-05-12 17:12:53+00:00
863062471531167744,7471,2078,2017-05-12 16:05:02+00:00
862831371563274240,17123,4429,2017-05-12 00:46:44+00:00
862722525377298433,15231,3062,2017-05-11 17:34:13+00:00
862457590147678208,18156,4218,2017-05-11 00:01:27+00:00
862096992088072192,65791,19857,2017-05-10 00:08:34+00:00
861383897657036800,32078,9200,2017-05-08 00:54:59+00:00
861288531465048066,15261,3564,2017-05-07 18:36:02+00:00
861005113778896900,14907,3311,2017-05-06 23:49:50+00:00
860981674716409858,0,1843,2017-05-06 22:16:42+00:00
860924035999428608,0,673,2017-05-06 18:27:40+00:00
860563773140209665,6677,1843,2017-05-05 18:36:06+00:00
860524505164394496,21118,4574,2017-05-05 16:00:04+00:00
860276583193509888,16471,3047,2017-05-04 23:34:55+00:00
860184849394610176,14927,5087,2017-05-04 17:30:24+00:00
860177593139703809,0,26525,2017-05-04 17:01:34+00:00
859924526012018688,17500,3563,2017-05-04 00:15:58+00:00
859851578198683649,13907,3050,2017-05-03 19:26:06+00:00
859607811541651456,16725,1354,2017-05-03 03:17:27+00:00
859196978902773760,79900,26105,2017-05-02 00:04:57+00:00
859074603037188101,30216,11890,2017-05-01 15:58:40+00:00
858860390427611136,0,7025,2017-05-01 01:47:28+00:00
858843525470990336,14039,3011,2017-05-01 00:40:27+00:00
858471635011153920,19369,4227,2017-04-30 00:02:42+00:00
858107933456039936,14134,2525,2017-04-28 23:57:28+00:00
857989990357356544,14411,2252,2017-04-28 16:08:49+00:00
857746408056729600,30603,9285,2017-04-28 00:00:54+00:00
857393404942143489,5279,1433,2017-04-27 00:38:11+00:00
857263160327368704,18160,3951,2017-04-26 16:00:39+00:00
857214891891077121,202,16,2017-04-26 12:48:51+00:00
857062103051644929,0,145,2017-04-26 02:41:43+00:00
